Query,Document ID,Key Quote,Source,Summary,Keywords,Model,BM25 Score,bm25_rank,Semantic Score,semantic_rank,ColBERT Score,colbert_rank,Reranking Score,reranking_rank,RRF,Mistral Output,Scored_Relevance,Scored_Extraction,Scored_Context
What was Lincoln's relationship to the Supreme Court during the Civil War?,Text #: 3,"And there California stood, kept out of the Union, because she would not let slavery into her borders. Under all the circumstances perhaps this was not wrong. There were other points of dispute, connected with the general question of slavery, which equally needed adjustment. The South clamored for a more efficient fugitive slave law. The North clamored for the abolition of a peculiar species of slave trade in the District of Columbia, in connection with which, in view from the windows of the capitol, a sort of negro-livery stable, where droves of negroes were collected, temporarily kept, and finally taken to Southern markets, precisely like droves of horses, had been openly maintained for fifty years. Utah and New Mexico needed territorial governments; and whether slavery should or should not be prohibited within them, was another question. The indefinite Western boundary of Texas was to be settled.","Source:  At Peoria, Illinois. October 16, 1854.","Summary: In his speech at Peoria, Illinois on October 16, 1854, Abraham Lincoln recounted the unfolding of the California gold rush, the tensions surrounding the admission of California as a free state, and the various points of dispute related to slavery. He detailed the Compromise of 1850, which attempted to resolve these issues, and the subsequent endorsement of the compromise by both the Democratic and Whig parties. Lincoln then discussed the introduction of a bill to create a territorial government for Nebraska and the eventual repeal of the Missouri Compromise."," Abraham Lincoln, Peoria, Illinois, California gold rush, Union, Compromise of 1850, slavery, fugitive slave law, District of Columbia, Texas, New Mexico, Utah, Missouri Compromise, political parties, Democrats, Whigs, Nebraska, Kansas, territorial government, Stephen Douglas, repeal.",Qdrant,,,0.4559519298025968,2.0,,,-7.398889,2.0,85%,"Relevant (but indirectly)
2. Quote Extraction: N/A
3. Contextual Relevance: During the Civil War, Lincoln's relationship with the Supreme Court was marked by significant legal battles over issues related to slavery and states' rights. However, this particular text does not contain explicit information about Lincoln's interactions with the Supreme Court. Instead, it discusses various disputes and debates surrounding slavery and its expansion that took place prior to the Civil War. These disputes ultimately contributed to the tensions that led to the conflict. Therefore, while the text may provide historical context for understanding the broader context of Lincoln's presidency and his relationship to the Supreme Court, it does not directly address the specific query regarding Lincoln's strategy for combatting piracy.",1,1,0
What was Lincoln's relationship to the Supreme Court during the Civil War?,Text #: 38,"A majority held in restraint by constitutional checks and limitations, and always changing easily with deliberate changes of popular opinions and sentiments, is the only true sovereign of a free people. Whoever rejects it does, of necessity, fly to anarchy or to despotism. Unanimity is impossible; the rule of a minority, as a permanent arrangement, is wholly inadmissible; so that, rejecting the majority principle, anarchy or despotism in some form is all that is left. I do not forget the position, assumed by some, that constitutional questions are to be decided by the Supreme Court; nor do I deny that such decisions must be binding, in any case, upon the parties to a suit, as to the object of that suit, while they are also entitled to very high respect and consideration in all parallel cases by all other departments of the government. And while it is obviously possible that such decision may be erroneous in any given case, still the evil effect following it, being limited to that particular case, with the chance that it may be overruled and never become a precedent for other cases, can better be borne than could the evils of a different practice. At the same time, the candid citizen must confess that if the policy of the government, upon vital questions affecting the whole people, is to be irrevocably fixed by decisions of the Supreme Court, the instant they are made, in ordinary litigation between parties in personal actions, the people will have ceased to be their own rulers, having to that extent practically resigned their government into the hands of that eminent tribunal. Nor is there in this view any assault upon the court or the judges.","Source:  First Inaugural Address. March 4, 1861.","Summary: In this excerpt from Abraham Lincoln's First Inaugural Address, he contends that secession is the essence of anarchy and that a majority restrained by constitutional checks is the true sovereign of a free people. He acknowledges the role of the Supreme Court in deciding constitutional questions but warns against allowing their decisions to become irrevocable political policies. Lincoln highlights that the only substantial dispute between the sections is the issue of slavery. He maintains that physical separation is impossible and that amicable or hostile interactions must continue. Lincoln affirms the people's right to amend the Constitution or overthrow the government, and he expresses his preference for the convention mode of amendment, which allows the people to originate the changes themselves."," secession, anarchy, majority, constitutional checks, Supreme Court, slavery, separation, amending the Constitution, convention mode.",Qdrant,,,0.437606240296585,4.0,,,-6.578603,1.0,81%,"Relevant
2. Quote Extraction: A majority held in restraint by constitutional checks and limitations, and always changing easily with deliberate changes of popular opinions and sentiments, is the only true sovereign of a free people.
3. Contextual Relevance: In his First Inaugural Address, Lincoln acknowledged the role of the Supreme Court in interpreting the Constitution but emphasized the importance of the people's ability to change their government through democratic processes. He argued that the Supreme Court's decisions should not be considered final and irreversible, as the people remain the ultimate sovereign. This perspective highlights Lincoln's belief in the power of the people to shape their government and society, even in relation to the highest court in the land.",1,1,1
What was Lincoln's relationship to the Supreme Court during the Civil War?,Text #: 39,"Intelligence, patriotism, Christianity, and a firm reliance on Him who has never yet forsaken this favored land, are still competent to adjust in the best way all our present difficulty. In your hands, my dissatisfied fellow-countrymen, and not in mine, is the momentous issue of civil war. The government will not assail you. You can have no conflict without being yourselves the aggressors. You have no oath registered in heaven to destroy the government, while I shall have the most solemn one to ""preserve, protect, and defend it."" I am loath to close. We are not enemies, but friends.","Source:  First Inaugural Address. March 4, 1861.","Summary: In this part of Abraham Lincoln's First Inaugural Address, he emphasizes that the chief magistrate's authority comes from the people and that it is the people who can decide on the separation of states. He urges patient confidence in the ultimate justice of the people and highlights the wisdom of the government's structure, which limits the power of public servants and allows for regular transfers of power. Lincoln encourages thoughtful consideration of the situation, arguing that taking time will not harm any good objectives. He places the responsibility for potential civil war on the dissatisfied countrymen and reminds them that the government will not attack first. Lincoln concludes by stressing that they are friends, not enemies, and calls for unity through the better angels of their nature."," chief magistrate, authority, separation of states, justice, government structure, public servants, civil war, unity, better angels.",ColBERT,,,,,14.0703125,3.0,-7.497366,3.0,77%,"Relevant
2. Quote Extraction: I am loath to close. We are not enemies, but friends.
3. Contextual Relevance: In his First Inaugural Address, Lincoln acknowledged the tensions between the North and South but emphasized the shared commitment to the Constitution and the Union. He did not threaten the southern states, instead appealing to their loyalty to the country and their duty to uphold the laws. During this period, the Supreme Court remained neutral and did not play a significant role in the ongoing debates regarding secession and the preservation of the Union. However, Lincoln's speech highlights the importance of maintaining the rule of law and the unity of the nation despite the growing divisions.",1,0,0
What was Lincoln's relationship to the Supreme Court during the Civil War?,Text #: 20,"Certainly the people of a State are and ought to be subject to the Constitution of the United States; but why is mention of this lugged into this merely territorial law? Why are the people of a territory and the people of a state therein lumped together, and their relation to the Constitution therein treated as being precisely the same? While the opinion of the Court, by Chief Justice Taney, in the Dred Scott case, and the separate opinions of all the concurring Judges, expressly declare that the Constitution of the United States neither permits Congress nor a Territorial legislature to exclude slavery from any United States territory, they all omit to declare whether or not the same Constitution permits a state, or the people of a State, to exclude it. Possibly, this was a mere omission; but who can be quite sure, if McLean or Curtis [6] had sought to get into the opinion a declaration of unlimited power in the people of a state to exclude slavery from their limits, just as Chase and Macy [7] sought to get such declaration, in behalf of the people of a territory, into the Nebraska bill---I ask, who can be quite sure that it would not have been voted down, in the one case, as it had been in the other. The nearest approach to the point of declaring the power of a State over slavery, is made by Judge Nelson.","Source:  A House Divided Speech. June 16, 1858.","Summary: In this section of the ""House Divided"" speech, Abraham Lincoln criticizes the inclusion of states in the Nebraska bill and speculates on the potential consequences of the Dred Scott decision. He raises concerns that the decision might lead to a future Supreme Court ruling that could make slavery lawful in all states. Lincoln rejects the notion that Senator Douglas is the best person to fight against the expansion of slavery, as he has promoted indifference towards the issue. He calls upon Republicans to unite and work together to confront the threat of slavery's expansion, asserting that victory is certain if they remain steadfast in their convictions."," House Divided, Abraham Lincoln, Nebraska bill, Dred Scott decision, slavery, Stephen Douglas, indifference, Republicans, unity, confrontation, victory.",BM25,10.492352441202712,3.0,,,,,-7.7527156,4.0,74%,"Relevant
2. Quote Extraction: ""mention of this [the relationship between states and the Constitution regarding slavery] lugged into this merely territorial law? Why are the people of a territory and the people of a state therein lump[ed] together, and their relation to the Constitution therein treated as being precisely the same?""
3. Contextual Relevance: In his ""A House Divided"" speech, Lincoln discussed the Supreme Court's decision in the Dred Scott case and its implications for the power of states to regulate slavery within their borders. Although the Court ruled that Congress could not prohibit slavery in federal territories, it did not address the issue of state sovereignty concerning slavery. Lincoln questioned the rationale behind treating the relationship of states and territories to the Constitution uniformly, despite significant differences in their constitutional statuses. This passage highlights the tension between the federal government and states regarding the regulation of slavery during the Civil War era.",1,1,1
What was Lincoln's relationship to the Supreme Court during the Civil War?,Text #: 34,"""This, plainly stated, is your language. Perhaps you will say the Supreme Court has decided the disputed Constitutional question in your favor. Not quite so. But waiving the lawyer's distinction between dictum and decision, the Court have decided the question for you in a sort of way. The Court have substantially said, it is your Constitutional right to take slaves into the federal territories, and to hold them there as property.","Source:  Cooper Union Address. February 27, 1860.","Summary: In this portion of Abraham Lincoln's Cooper Union Speech, he disputes the idea that the Constitution distinctly and expressly affirms the right to own slaves as property. He points out that the language used in the Constitution avoids referring to slaves as property. Lincoln criticizes the Southern states for threatening to break up the Union if a Republican president is elected and for demanding that Republicans not only stop opposing slavery but actively support it. He emphasizes that Republicans have always maintained their desire to let the Southern states alone, but this has not been enough to appease them."," Cooper Union Speech, Constitution, slavery, property, Republican party, Southern states, Union, slave ownership, constitutional right, election, opposition to slavery.",Qdrant,,,0.5123225788271688,1.0,,,-9.282435,7.0,72%,"Relevant
2. Quote Extraction: ""The Court have decided the question for you in a sort of way. The Court have substantially said, it is your Constitutional right to take slaves into the federal territories, and to hold them there as property.""
3. Contextual Relevance: In his Cooper Union Address, Lincoln addressed the Dred Scott v. Sandford case and the Supreme Court's role in the ongoing debate regarding slavery expansion. Although the court didn't rule in Lincoln's favor, he acknowledged the impact of the ruling on the political landscape and the public discourse surrounding slavery. This passage highlights Lincoln's perspective on the Supreme Court during the period leading up to the Civil War.",1,1,1
What was Lincoln's relationship to the Supreme Court during the Civil War?,Text #: 49,"I would invite special attention to the recommendation of the Secretary for a more perfect organization of the navy by introducing additional grades in the service. The present organization is defective and unsatisfactory, and the suggestions submitted by the department will, it is believed, if adopted, obviate the difficulties alluded to, promote harmony, and increase the efficiency of the navy. There are three vacancies on the bench of the Supreme Court---two by the decease of Justices Daniel and McLean, and one by the resignation of Justice Campbell. I have so far forborne making nominations to fill these vacancies for reasons which I will now state. Two of the outgoing judges resided within the States now overrun by revolt; so that if successors were appointed in the same localities, they could not now serve upon their circuits; and many of the most competent men there, probably would not take the personal hazard of accepting to serve, even here, upon the supreme bench.","Source:  First Annual Message. December 3, 1861.","Summary: In Abraham Lincoln's Annual Message to Congress on December 3, 1861, he discusses the operations and administration of the Navy, highlighting its rapid growth and achievements since the start of the conflict. He supports the Secretary of the Navy's recommendation to introduce additional grades for a more efficient organization. Lincoln addresses the vacancies on the Supreme Court bench and explains his hesitation to make nominations due to the ongoing rebellion. He also discusses the inadequacy of the current judicial system and suggests three possible modifications to improve it. Lastly, he recommends that Congress consider the state of the statute laws, as their complexity and volume cause confusion and inconvenience for those involved in their administration."," Navy, operations, administration, Supreme Court, vacancies, judicial system, circuit courts, district courts, statute laws.",BM25,10.563380269792043,2.0,,,,,-9.246307,6.0,71%,"Relevant
2. Quote Extraction: ""There are three vacancies on the bench of the Supreme Court---two by the decease of Justices Daniel and McLean, and one by the resignation of Justice Campbell.""
3. Contextual Relevance: During the Civil War, Lincoln faced challenges in filling vacancies on the Supreme Court due to the instability caused by the ongoing conflict. Many potential appointees refused to risk serving in areas affected by the rebellion. As a result, Lincoln delayed making nominations until conditions improved. This excerpt highlights the practical challenges of governing during wartime and the need to consider political realities when making appointments.",1,1,1
What was Lincoln's relationship to the Supreme Court during the Civil War?,Text #: 72,"""Fellow-citizens of the Senate December 6, 1864
and House of Representatives:

Again the blessings of health and abundant harvests claim our profoundest gratitude to Almighty God. The condition of our foreign affairs is reasonably satisfactory. Mexico continues to be a theatre of civil war. While our political relations with that country have undergone no change, we have, at the same time, strictly maintained neutrality between the belligerents. At the request of the states of Costa Rica and Nicaragua, a competent engineer has been authorized to make a survey of the river San Juan and the port of San Juan. It is a source of much satisfaction that the difficulties which for a moment excited some political apprehensions, and caused a closing of the inter-oceanic transit route, have been amicably adjusted, and that there is a good prospect that the route will soon be reopened with an increase of capacity and adaptation.","Source:  Fourth Annual Message. December 6, 1864.","Summary: In Abraham Lincoln's Fourth Annual Message, he expresses gratitude for good health and abundant harvests. He discusses the United States' foreign relations, including maintaining neutrality in Mexico's civil war and involvement in various projects such as a river survey in Central America and the overland telegraph between America and Europe. He mentions the friendly relations with South American states, the ongoing civil war in the Spanish part of San Domingo, and the improvement in relations with Liberia. Lincoln also discusses the situation in China, where rebellion has been suppressed, and <mark>Japan</mark>, where progress has been made in performing treaty stipulations."," Fourth Annual Message, December 6, 1864, Abraham Lincoln, foreign relations, Mexico, civil war, Central America, river survey, overland telegraph, South American states, San Domingo, Liberia, China, <mark>Japan</mark>, treaty stipulations.",ColBERT,,,,,16.140625,1.0,-9.527488,8.0,68%,"Irrelevant
2. Quote Extraction: NaN
3. Contextual Relevance: The text does not mention anything related to Lincoln's relationship with the Supreme Court during the Civil War.",1,1,1
What was Lincoln's relationship to the Supreme Court during the Civil War?,Text #: 9,"Now the relation of masters and slaves is, PRO TANTO, a total violation of this principle. The master not only governs the slave without his consent; but he governs him by a set of rules altogether different from those which he prescribes for himself. Allow ALL the governed an equal voice in the government, and that, and that only is self government. Let it not be said that I am contending for the establishment of political and social equality between the whites and blacks. I have already said the contrary. I am not now combating the argument of NECESSITY, arising from the fact that the blacks are already amongst us; but I am combating what is set up as MORAL argument for allowing them to be taken where they have never yet been---arguing against the EXTENSION of a bad thing, which where it already exists, we must of necessity, manage as we best can. In support of his application of the doctrine of self-government, Senator Douglas has sought to bring to his aid the opinions and examples of our revolutionary fathers.","Source:  At Peoria, Illinois. October 16, 1854.","Summary: In this passage, Abraham Lincoln addresses the argument of self-government in relation to the repeal of the Missouri Compromise. He asserts that the concept of self-government is fundamentally right but questions its application to the issue of slavery. Lincoln argues that true self-government cannot exist when one person governs another without consent. He cites the Declaration of Independence as the basis of this belief, stating that the just powers of governments come from the consent of the governed. He clarifies that he is not advocating for political and social equality between whites and blacks, but rather arguing against the extension of slavery into new territories. Finally, he discusses the opinions and examples of the founding fathers, asserting that their support for self-government did not extend to carrying slavery into new territories."," Abraham Lincoln, speech, self-government, Missouri Compromise, slavery, consent, Declaration of Independence, founding fathers, American republicanism, new territories, despotism, moral argument.",ColBERT,,,,,13.8671875,4.0,-8.674919,5.0,67%,"Irrelevant
2. Quote Extraction: NaN
3. Contextual Relevance: The text does not discuss Lincoln's relationship to the Supreme Court during the Civil War. Instead, it focuses on Lincoln's speech at Peoria, Illinois, in 1854, where he discusses the issue of slavery and self-government.",1,1,1
What was Lincoln's relationship to the Supreme Court during the Civil War?,Text #: 50,"""I am informed by some whose opinions I respect, that all the acts of Congress now in force, and of a permanent and general nature, might be revised and re-written, so as to be embraced in one volume (or at most, two volumes) of ordinary and convenient size. And I respectfully recommend to Congress to consider of the subject, and, if my suggestion be approved, to devise such plan as to their wisdom shall seem most proper for the attainment of the end proposed. One of the unavoidable consequences of the present insurrection is the entire suppression, in many places, of all the ordinary means of administering civil justice by the officers and in the forms of existing law. This is the case, in whole or in part, in all the insurgent States; and as our armies advance upon and take possession of parts of those States, the practical evil becomes more apparent. There are no courts nor officers to whom the citizens of other States may apply for the enforcement of their lawful claims against citizens of the insurgent States; and there is a vast amount of debt constituting such claims.","Source:  First Annual Message. December 3, 1861.","Summary: In Abraham Lincoln's Annual Message to Congress on December 3, 1861, he suggests that Congress consider revising and consolidating all permanent and general acts into one or two volumes for easier reference. He acknowledges the difficulties in administering civil justice in the insurgent states due to the ongoing rebellion and refers the matter to Congress to devise a plan for temporary administration of justice in those areas. Lincoln also calls for a more convenient means to adjust claims against the government and considers giving the Court of Claims the power to make its judgments final, subject to appeal on legal questions to the Supreme Court. Finally, he presents a summary of the Postmaster General's report, highlighting the revenue and expenditure figures for the fiscal year ending June 30, 1861."," acts of Congress, civil justice, insurgent states, Court of Claims, Postmaster General, revenue, expenditures.",BM25,11.8563638106552,1.0,,,,,-9.628611,9.0,66%,"Relevant
2. Quote Extraction: ""One of the unavoidable consequences of the present insurrection is the entire suppression, in many places, of all the ordinary means of administering civil justice by the officers and in the forms of existing law.""
3. Contextual Relevance: During the Civil War, the normal functioning of the legal system was severely impacted due to the insurgency. As a result, Lincoln recommended to Congress the need to review and potentially revise existing laws to ensure their continued application and effectiveness. This highlights the unique challenges faced by the executive branch in maintaining order and enforcing the rule of law amidst the chaos of the Civil War.",1,1,1
What was Lincoln's relationship to the Supreme Court during the Civil War?,Text #: 76,"And yet no approach to such unanimity is attainable, unless some deference shall be paid to the will of the majority, simply because it is the will of the majority. In this case the common end is the maintenance of the Union; and, among the means to secure that end, such will, through the election, is most clearly declared in favor of such constitutional amendment. The most reliable indication of public purpose in this country is derived through our popular elections. Judging by the recent canvass and its result, the purpose of the people, within the loyal States, to maintain the integrity of the Union, was never more firm, nor more nearly unanimous, than now. The extraordinary calmness and good order with which the millions of voters met and mingled at the polls, give strong assurance of this. Not only all those who supported the Union ticket, so called, but a great majority of the opposing party also, may be fairly claimed to entertain, and to be actuated by, the same purpose. It is an unanswerable argument to this effect, that no candidate for any office whatever, high or low, has ventured to seek votes on the avowal that he was for giving up the Union.","Source:  Fourth Annual Message. December 6, 1864.","Summary: In this portion of Abraham Lincoln's Fourth Annual Message, he discusses the administration of pensions for invalid soldiers, sailors, widows, orphans, and dependent mothers, as well as the progress of the Agricultural Department. He also addresses the ongoing Civil War, highlighting military advances and social changes within the Union. He mentions the movements towards loyal state governments in Arkansas, Louisiana, Missouri, Kentucky, and Tennessee, and the success of Maryland in embracing liberty and the Union. Lincoln urges Congress to reconsider the proposed constitutional amendment to abolish slavery and stresses the importance of maintaining the Union."," Fourth Annual Message, December 6, 1864, Abraham Lincoln, pensions, invalid soldiers, widows, orphans, dependent mothers, Agricultural Department, Civil War, military operations, loyal state governments, Maryland, constitutional amendment, slavery, Union.",ColBERT,,,,,14.125,2.0,-10.134189,10.0,59%,"Irrelevant
2. Quote Extraction: NaN
3. Contextual Relevance: The text does not discuss Lincoln's relationship to the Supreme Court during the Civil War. Instead, it focuses on the political situation leading up to the passage of the Thirteenth Amendment and the unity of the American people in maintaining the Union.",1,1,1
